"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","device_id","stimulus","response"
"true","false","[]","[]","[]","preload","0","18","0.0-0.0","yed7xh6xot7kbmq","conditionA","","","",""
"true","","","","","fullscreen","1","3192","0.0-1.0","yed7xh6xot7kbmq","conditionA","2163","","",""
"","","","","","initialize-microphone","2","4248","0.0-2.0","yed7xh6xot7kbmq","conditionA","","a245aeecc0339b94ca3b74e02bb1150e9e1aee21df4e57afe28caa91d36d71b3","",""
"","","","","","image-button-response","3","6051","0.0-3.0","yed7xh6xot7kbmq","conditionA","null","","[]","null"
"","","","","","image-button-response","4","10553","0.0-4.0","yed7xh6xot7kbmq","conditionA","null","","[""images/celebrities/1.png""]","null"
"","","","","","image-button-response","5","11621","0.0-5.0","yed7xh6xot7kbmq","conditionA","1066","","[]","4"
"","","","","","image-button-response","6","13422","0.0-6.0","yed7xh6xot7kbmq","conditionA","null","","[]","null"
"","","","","","image-button-response","7","15238","0.0-7.0","yed7xh6xot7kbmq","conditionA","null","","[]","null"
"","","","","","image-button-response","8","19751","0.0-8.0","yed7xh6xot7kbmq","conditionA","null","","[""images/celebrities/3.png""]","null"
"","","","","","image-button-response","9","20881","0.0-9.0","yed7xh6xot7kbmq","conditionA","1128","","[]","4"
"","","","","","image-button-response","10","22689","0.0-10.0","yed7xh6xot7kbmq","conditionA","null","","[]","null"
"","","","","","image-button-response","11","24501","0.0-11.0","yed7xh6xot7kbmq","conditionA","null","","[]","null"
"","","","","","image-button-response","12","29010","0.0-12.0","yed7xh6xot7kbmq","conditionA","null","","[""images/celebrities/5.png""]","null"
"","","","","","image-button-response","13","29667","0.0-13.0","yed7xh6xot7kbmq","conditionA","656","","[]","4"
"","","","","","image-button-response","14","31481","0.0-14.0","yed7xh6xot7kbmq","conditionA","null","","[]","null"
"","","","","","image-button-response","15","33292","0.0-15.0","yed7xh6xot7kbmq","conditionA","null","","[]","null"
"","","","","","image-button-response","16","37805","0.0-16.0","yed7xh6xot7kbmq","conditionA","null","","[""images/celebrities/7.png""]","null"
"","","","","","image-button-response","17","38877","0.0-17.0","yed7xh6xot7kbmq","conditionA","1071","","[]","4"
"","","","","","image-button-response","18","40691","0.0-18.0","yed7xh6xot7kbmq","conditionA","null","","[]","null"
"","","","","","survey-text","19","43778","0.0-19.0","yed7xh6xot7kbmq","conditionA","3084","","","{""Q0"":""lll""}"
