"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","device_id","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","62","0.0-0.0","0ubjvl8pbdrk9zq","conditionA","","","","",""
"true","","","","","fullscreen","1","2700","0.0-1.0","0ubjvl8pbdrk9zq","conditionA","1630","","","",""
"","","","","","initialize-microphone","2","3874","0.0-2.0","0ubjvl8pbdrk9zq","conditionA","","a245aeecc0339b94ca3b74e02bb1150e9e1aee21df4e57afe28caa91d36d71b3","","",""
"","","","","","image-button-response","3","5693","0.0-3.0","0ubjvl8pbdrk9zq","conditionA","null","","[]","null",""
"","","","","","image-button-response","4","10204","0.0-4.0","0ubjvl8pbdrk9zq","conditionA","null","","[""images/celebrities/1.png""]","null",""
"","","","","","image-button-response","5","11355","0.0-5.0","0ubjvl8pbdrk9zq","conditionA","1150","","[]","4",""
"","","","","","image-button-response","6","13170","0.0-6.0","0ubjvl8pbdrk9zq","conditionA","null","","[]","null",""
"","","","","","image-button-response","7","14978","0.0-7.0","0ubjvl8pbdrk9zq","conditionA","null","","[]","null",""
"","","","","","image-button-response","8","19491","0.0-8.0","0ubjvl8pbdrk9zq","conditionA","null","","[""images/celebrities/3.png""]","null",""
"","","","","","image-button-response","9","20696","0.0-9.0","0ubjvl8pbdrk9zq","conditionA","1204","","[]","4",""
"","","","","","image-button-response","10","22501","0.0-10.0","0ubjvl8pbdrk9zq","conditionA","null","","[]","null",""
"","","","","","image-button-response","11","24303","0.0-11.0","0ubjvl8pbdrk9zq","conditionA","null","","[]","null",""
"","","","","","image-button-response","12","28806","0.0-12.0","0ubjvl8pbdrk9zq","conditionA","null","","[""images/celebrities/5.png""]","null",""
"","","","","","image-button-response","13","30059","0.0-13.0","0ubjvl8pbdrk9zq","conditionA","1252","","[]","3",""
"","","","","","image-button-response","14","31870","0.0-14.0","0ubjvl8pbdrk9zq","conditionA","null","","[]","null",""
"","","","","","image-button-response","15","33678","0.0-15.0","0ubjvl8pbdrk9zq","conditionA","null","","[]","null",""
"","","","","","image-button-response","16","38181","0.0-16.0","0ubjvl8pbdrk9zq","conditionA","null","","[""images/celebrities/7.png""]","null",""
"","","","","","image-button-response","17","39411","0.0-17.0","0ubjvl8pbdrk9zq","conditionA","1228","","[]","4",""
"","","","","","image-button-response","18","41226","0.0-18.0","0ubjvl8pbdrk9zq","conditionA","null","","[]","null",""
