"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","55985","0.0-0.0","8ooaf0juzr9lqs0","","","","","",""
"true","","","","","fullscreen","1","75011","0.0-1.0","8ooaf0juzr9lqs0","18026","","","","",""
"","","","","","initialize-microphone","2","91145","0.0-2.0","8ooaf0juzr9lqs0","","e52dca8fff207a346170aa0c726f28826ca39a4392f4e3f05b28e1ab5e5f7d41","","","",""
"","","","","","instructions","3","99206","0.0-3.0","8ooaf0juzr9lqs0","8059","","[{""page_index"":0,""viewing_time"":1743},{""page_index"":1,""viewing_time"":6316}]","","",""
"","","","","","image-button-response","4","103709","0.0-4.0-0.0","8ooaf0juzr9lqs0","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","106411","0.0-4.0-1.0","8ooaf0juzr9lqs0","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","108214","0.0-4.0-2.0","8ooaf0juzr9lqs0","null","","","[]","null",""
"","","","","","image-button-response","7","112722","0.0-4.0-0.1","8ooaf0juzr9lqs0","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","113306","0.0-4.0-1.1","8ooaf0juzr9lqs0","582","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","115113","0.0-4.0-2.1","8ooaf0juzr9lqs0","null","","","[]","null",""
"","","","","","image-button-response","10","119616","0.0-4.0-0.2","8ooaf0juzr9lqs0","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","120374","0.0-4.0-1.2","8ooaf0juzr9lqs0","756","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","122178","0.0-4.0-2.2","8ooaf0juzr9lqs0","null","","","[]","null",""
"","","","","","instructions","13","128905","0.0-5.0","8ooaf0juzr9lqs0","6726","","[{""page_index"":0,""viewing_time"":5093},{""page_index"":1,""viewing_time"":1633}]","","",""
