"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","735","0.0-0.0","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","","","","","",""
"true","","","","","fullscreen","1","2858","0.0-1.0","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","1117","","","","",""
"","","","","","initialize-microphone","2","4564","0.0-2.0","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","","a245aeecc0339b94ca3b74e02bb1150e9e1aee21df4e57afe28caa91d36d71b3","","","",""
"","","","","","instructions","3","6741","0.0-3.0","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","2176","","[{""page_index"":0,""viewing_time"":835},{""page_index"":1,""viewing_time"":1340}]","","",""
"","","","","","image-button-response","4","11263","0.0-4.0-0.0","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","12071","0.0-4.0-1.0","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","804","","","images/instructions/timeline_0/1_Barck_Obama.png","1",""
"","","","","","image-button-response","6","13883","0.0-4.0-2.0","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","null","","","[]","null",""
"","","","","","image-button-response","7","18394","0.0-4.0-0.1","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","19262","0.0-4.0-1.1","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","865","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","21068","0.0-4.0-2.1","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","null","","","[]","null",""
"","","","","","image-button-response","10","25583","0.0-4.0-0.2","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","26418","0.0-4.0-1.2","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","833","","","images/instructions/timeline_0/3_Beyonce.png","1",""
"","","","","","image-button-response","12","28223","0.0-4.0-2.2","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","null","","","[]","null",""
"","","","","","instructions","13","29978","0.0-5.0","kdzn8c9r3ny3jfo","-2024-01-29-01-09-36","1754","","[{""page_index"":0,""viewing_time"":805},{""page_index"":1,""viewing_time"":949}]","","",""
