"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","8472","0.0-0.0","14y1xn81v7qgrwx","","","","","",""
"true","","","","","fullscreen","1","36896","0.0-1.0","14y1xn81v7qgrwx","27420","","","","",""
"","","","","","initialize-microphone","2","43791","0.0-2.0","14y1xn81v7qgrwx","","fa14cb2f3fc24b128e84ebc6fa8690896e81ff2dea8d777fe2b639388508719b","","","",""
"","","","","","instructions","3","51726","0.0-3.0","14y1xn81v7qgrwx","7935","","[{""page_index"":0,""viewing_time"":1320},{""page_index"":1,""viewing_time"":6615}]","","",""
"","","","","","image-button-response","4","56228","0.0-4.0-0.0","14y1xn81v7qgrwx","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","58932","0.0-4.0-1.0","14y1xn81v7qgrwx","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","60739","0.0-4.0-2.0","14y1xn81v7qgrwx","null","","","[]","null",""
"","","","","","image-button-response","7","65241","0.0-4.0-0.1","14y1xn81v7qgrwx","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","66776","0.0-4.0-1.1","14y1xn81v7qgrwx","1534","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","68581","0.0-4.0-2.1","14y1xn81v7qgrwx","null","","","[]","null",""
"","","","","","image-button-response","10","73082","0.0-4.0-0.2","14y1xn81v7qgrwx","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","74243","0.0-4.0-1.2","14y1xn81v7qgrwx","1159","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","76050","0.0-4.0-2.2","14y1xn81v7qgrwx","null","","","[]","null",""
"","","","","","instructions","13","83978","0.0-5.0","14y1xn81v7qgrwx","7927","","[{""page_index"":0,""viewing_time"":6908},{""page_index"":1,""viewing_time"":1019}]","","",""
