"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","device_id","stimulus","response","estimated_stimulus_onset","audio_url"
"true","false","[]","[]","[]","preload","0","49","0.0-0.0","xc97rju1m585y5b","conditionB","","","","","",""
"true","","","","","fullscreen","1","2524","0.0-1.0","xc97rju1m585y5b","conditionB","1473","","","","",""
"","","","","","initialize-microphone","2","3585","0.0-2.0","xc97rju1m585y5b","conditionB","","a245aeecc0339b94ca3b74e02bb1150e9e1aee21df4e57afe28caa91d36d71b3","","","",""
"","","","","","image-button-response","3","5396","0.0-3.0","xc97rju1m585y5b","conditionB","null","","[]","null","",""
"","","","","","image-button-response","4","9906","0.0-4.0","xc97rju1m585y5b","conditionB","null","","[""images/celebrities/1.png""]","null","",""
"","","","","","image-button-response","5","10783","0.0-5.0","xc97rju1m585y5b","conditionB","876","","[]","2","",""
"","","","","","image-button-response","6","12589","0.0-6.0","xc97rju1m585y5b","conditionB","null","","[]","null","",""
"","","","","","image-button-response","7","14403","0.0-7.0","xc97rju1m585y5b","conditionB","null","","[]","null","",""
"","","","","","image-button-response","8","18911","0.0-8.0","xc97rju1m585y5b","conditionB","null","","[""images/celebrities/3.png""]","null","",""
"","","","","","image-button-response","9","19802","0.0-9.0","xc97rju1m585y5b","conditionB","889","","[]","2","",""
"","","","","","image-button-response","10","21607","0.0-10.0","xc97rju1m585y5b","conditionB","null","","[]","null","",""
"","","","","","image-button-response","11","23420","0.0-11.0","xc97rju1m585y5b","conditionB","null","","[]","null","",""
"","","","","","image-button-response","12","27922","0.0-12.0","xc97rju1m585y5b","conditionB","null","","[""images/celebrities/5.png""]","null","",""
"","","","","","image-button-response","13","29138","0.0-13.0","xc97rju1m585y5b","conditionB","1215","","[]","2","",""
"","","","","","image-button-response","14","30944","0.0-14.0","xc97rju1m585y5b","conditionB","null","","[]","null","",""
"","","","","","image-button-response","15","32759","0.0-15.0","xc97rju1m585y5b","conditionB","null","","[]","null","",""
"","","","","","image-button-response","16","37260","0.0-16.0","xc97rju1m585y5b","conditionB","null","","[""images/celebrities/7.png""]","null","",""
"","","","","","image-button-response","17","38115","0.0-17.0","xc97rju1m585y5b","conditionB","854","","[]","2","",""
"","","","","","image-button-response","18","39925","0.0-18.0","xc97rju1m585y5b","conditionB","null","","[]","null","",""
