"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","2617","0.0-0.0","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","","","","","",""
"true","","","","","fullscreen","1","5115","0.0-1.0","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","1493","","","","",""
"","","","","","initialize-microphone","2","8588","0.0-2.0","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","","d180ae5af41c37f42b54c773b5c1e481c1cbde07fd7ed6b43b6fa9a871e8685f","","","",""
"","","","","","instructions","3","11870","0.0-3.0","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","3268","","[{""page_index"":0,""viewing_time"":919},{""page_index"":1,""viewing_time"":2348}]","","",""
"","","","","","image-button-response","4","16379","0.0-4.0-0.0","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","19020","0.0-4.0-1.0","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","2639","","","images/instructions/timeline_0/1_Barck_Obama.png","0",""
"","","","","","image-button-response","6","20825","0.0-4.0-2.0","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","null","","","[]","null",""
"","","","","","image-button-response","7","25332","0.0-4.0-0.1","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","26602","0.0-4.0-1.1","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","1268","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","28408","0.0-4.0-2.1","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","null","","","[]","null",""
"","","","","","image-button-response","10","32911","0.0-4.0-0.2","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","34215","0.0-4.0-1.2","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","1303","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","36021","0.0-4.0-2.2","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","null","","","[]","null",""
"","","","","","instructions","13","41343","0.0-5.0","ghmz63mpu2mt596","ghmz63mpu2mt596-2024-01-29-03-22-26","5322","","[{""page_index"":0,""viewing_time"":3991},{""page_index"":1,""viewing_time"":1331}]","","",""
