"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","5729","0.0-0.0","y2hp5bmgjtb8n11","y2hp5bmgjtb8n11-2024-01-29-05-22-52","","","","","",""
"true","","","","","fullscreen","1","8819","0.0-1.0","y2hp5bmgjtb8n11","y2hp5bmgjtb8n11-2024-01-29-05-22-52","2005","","","","",""
"","","","","","initialize-microphone","2","17294","0.0-2.0","y2hp5bmgjtb8n11","y2hp5bmgjtb8n11-2024-01-29-05-22-52","","yTnc+YdIpfzX9KDz5MaLt7zHhRuRjhK7EQWJl3iGB5E=","","","",""
"","","","","","instructions","3","22393","0.0-3.0","y2hp5bmgjtb8n11","y2hp5bmgjtb8n11-2024-01-29-05-22-52","5097","","[{""page_index"":0,""viewing_time"":1120},{""page_index"":1,""viewing_time"":3977}]","","",""
"","","","","","image-button-response","4","26909","0.0-4.0-0.0","y2hp5bmgjtb8n11","y2hp5bmgjtb8n11-2024-01-29-05-22-52","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","29707","0.0-4.0-1.0","y2hp5bmgjtb8n11","y2hp5bmgjtb8n11-2024-01-29-05-22-52","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","31518","0.0-4.0-2.0","y2hp5bmgjtb8n11","y2hp5bmgjtb8n11-2024-01-29-05-22-52","null","","","[]","null",""
"","","","","","image-button-response","7","36033","0.0-4.0-0.1","y2hp5bmgjtb8n11","y2hp5bmgjtb8n11-2024-01-29-05-22-52","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","37840","0.0-4.0-1.1","y2hp5bmgjtb8n11","y2hp5bmgjtb8n11-2024-01-29-05-22-52","1807","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","39644","0.0-4.0-2.1","y2hp5bmgjtb8n11","y2hp5bmgjtb8n11-2024-01-29-05-22-52","null","","","[]","null",""
"","","","","","image-button-response","10","44284","0.0-4.0-0.2","y2hp5bmgjtb8n11","y2hp5bmgjtb8n11-2024-01-29-05-22-52","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
