"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","device_id","stimulus","response"
"true","false","[]","[]","[]","preload","0","9","0.0-0.0","awkv7tgarcwee0q","conditionB","","","",""
"true","","","","","fullscreen","1","11792","0.0-1.0","awkv7tgarcwee0q","conditionB","10775","","",""
"","","","","","initialize-microphone","2","14442","0.0-2.0","awkv7tgarcwee0q","conditionB","","a245aeecc0339b94ca3b74e02bb1150e9e1aee21df4e57afe28caa91d36d71b3","",""
"","","","","","image-button-response","3","16255","0.0-3.0","awkv7tgarcwee0q","conditionB","null","","[]","null"
"","","","","","image-button-response","4","20768","0.0-4.0","awkv7tgarcwee0q","conditionB","null","","[""images/celebrities/1.png""]","null"
"","","","","","image-button-response","5","22184","0.0-5.0","awkv7tgarcwee0q","conditionB","1415","","[]","4"
"","","","","","image-button-response","6","23998","0.0-6.0","awkv7tgarcwee0q","conditionB","null","","[]","null"
"","","","","","image-button-response","7","25802","0.0-7.0","awkv7tgarcwee0q","conditionB","null","","[]","null"
"","","","","","image-button-response","8","30317","0.0-8.0","awkv7tgarcwee0q","conditionB","null","","[""images/celebrities/3.png""]","null"
"","","","","","image-button-response","9","31303","0.0-9.0","awkv7tgarcwee0q","conditionB","985","","[]","4"
"","","","","","image-button-response","10","33112","0.0-10.0","awkv7tgarcwee0q","conditionB","null","","[]","null"
"","","","","","image-button-response","11","34918","0.0-11.0","awkv7tgarcwee0q","conditionB","null","","[]","null"
"","","","","","image-button-response","12","39425","0.0-12.0","awkv7tgarcwee0q","conditionB","null","","[""images/celebrities/5.png""]","null"
"","","","","","image-button-response","13","40540","0.0-13.0","awkv7tgarcwee0q","conditionB","1114","","[]","4"
"","","","","","image-button-response","14","42354","0.0-14.0","awkv7tgarcwee0q","conditionB","null","","[]","null"
"","","","","","image-button-response","15","44166","0.0-15.0","awkv7tgarcwee0q","conditionB","null","","[]","null"
"","","","","","image-button-response","16","48677","0.0-16.0","awkv7tgarcwee0q","conditionB","null","","[""images/celebrities/7.png""]","null"
"","","","","","image-button-response","17","49644","0.0-17.0","awkv7tgarcwee0q","conditionB","965","","[]","4"
"","","","","","image-button-response","18","51459","0.0-18.0","awkv7tgarcwee0q","conditionB","null","","[]","null"
"","","","","","survey-text","19","57640","0.0-19.0","awkv7tgarcwee0q","conditionB","6172","","","{""Q0"":""kkk""}"
