"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","2897","0.0-0.0","6a4xkdm475z4dxf","6a4xkdm475z4dxf-2024-01-29-03-18-05","","","","","",""
"true","","","","","fullscreen","1","6384","0.0-1.0","6a4xkdm475z4dxf","6a4xkdm475z4dxf-2024-01-29-03-18-05","2484","","","","",""
"","","","","","initialize-microphone","2","19023","0.0-2.0","6a4xkdm475z4dxf","6a4xkdm475z4dxf-2024-01-29-03-18-05","","1b6d0d054926def775382eb48dd8842621ecdec66ec6510a9363553e7de6bbd5","","","",""
"","","","","","instructions","3","26740","0.0-3.0","6a4xkdm475z4dxf","6a4xkdm475z4dxf-2024-01-29-03-18-05","7717","","[{""page_index"":0,""viewing_time"":1253},{""page_index"":1,""viewing_time"":6464}]","","",""
"","","","","","image-button-response","4","31242","0.0-4.0-0.0","6a4xkdm475z4dxf","6a4xkdm475z4dxf-2024-01-29-03-18-05","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","33900","0.0-4.0-1.0","6a4xkdm475z4dxf","6a4xkdm475z4dxf-2024-01-29-03-18-05","2657","","","images/instructions/timeline_0/1_Barck_Obama.png","0",""
"","","","","","image-button-response","6","35702","0.0-4.0-2.0","6a4xkdm475z4dxf","6a4xkdm475z4dxf-2024-01-29-03-18-05","null","","","[]","null",""
"","","","","","image-button-response","7","40203","0.0-4.0-0.1","6a4xkdm475z4dxf","6a4xkdm475z4dxf-2024-01-29-03-18-05","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","42044","0.0-4.0-1.1","6a4xkdm475z4dxf","6a4xkdm475z4dxf-2024-01-29-03-18-05","1840","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","43845","0.0-4.0-2.1","6a4xkdm475z4dxf","6a4xkdm475z4dxf-2024-01-29-03-18-05","null","","","[]","null",""
"","","","","","image-button-response","10","48347","0.0-4.0-0.2","6a4xkdm475z4dxf","6a4xkdm475z4dxf-2024-01-29-03-18-05","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","49532","0.0-4.0-1.2","6a4xkdm475z4dxf","6a4xkdm475z4dxf-2024-01-29-03-18-05","1185","","","images/instructions/timeline_0/3_Beyonce.png","0",""
