"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","789","0.0-0.0","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","","","","","",""
"true","","","","","fullscreen","1","3592","0.0-1.0","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","1800","","","","",""
"","","","","","initialize-microphone","2","5263","0.0-2.0","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","","c5485108d9e78f60a525c147dc841b5e7f813f280704b3aae3cc1b9bc844b6a7","","","",""
"","","","","","instructions","3","7856","0.0-3.0","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","2590","","[{""page_index"":0,""viewing_time"":1208},{""page_index"":1,""viewing_time"":1382}]","","",""
"","","","","","image-button-response","4","12359","0.0-4.0-0.0","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","13330","0.0-4.0-1.0","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","969","","","images/instructions/timeline_0/1_Barck_Obama.png","0",""
"","","","","","image-button-response","6","15131","0.0-4.0-2.0","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","null","","","[]","null",""
"","","","","","image-button-response","7","19632","0.0-4.0-0.1","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","21432","0.0-4.0-1.1","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","1799","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","23233","0.0-4.0-2.1","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","null","","","[]","null",""
"","","","","","image-button-response","10","27735","0.0-4.0-0.2","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","28534","0.0-4.0-1.2","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","797","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","30336","0.0-4.0-2.2","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","null","","","[]","null",""
"","","","","","instructions","13","33918","0.0-5.0","w8bs9b2sgj67wcj","w8bs9b2sgj67wcj-2024-01-29-02-12-54","3582","","[{""page_index"":0,""viewing_time"":2205},{""page_index"":1,""viewing_time"":1376}]","","",""
