"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","response"
"true","false","[]","[]","[]","preload","0","44","0.0-0.0","o6p19e2byv0dw6u","conditionB","","",""
"true","","","","","fullscreen","1","2624","0.0-1.0","o6p19e2byv0dw6u","conditionB","1564","",""
"","","","","","image-button-response","2","4441","0.0-2.0","o6p19e2byv0dw6u","conditionB","null","[]","null"
"","","","","","image-button-response","3","8955","0.0-3.0","o6p19e2byv0dw6u","conditionB","null","[""images/celebrities/1.png""]","null"
"","","","","","image-button-response","4","10144","0.0-4.0","o6p19e2byv0dw6u","conditionB","1188","[]","4"
"","","","","","image-button-response","5","11958","0.0-5.0","o6p19e2byv0dw6u","conditionB","null","[]","null"
"","","","","","image-button-response","6","13764","0.0-6.0","o6p19e2byv0dw6u","conditionB","null","[]","null"
"","","","","","image-button-response","7","18276","0.0-7.0","o6p19e2byv0dw6u","conditionB","null","[""images/celebrities/3.png""]","null"
"","","","","","image-button-response","8","19469","0.0-8.0","o6p19e2byv0dw6u","conditionB","1191","[]","3"
"","","","","","image-button-response","9","21280","0.0-9.0","o6p19e2byv0dw6u","conditionB","null","[]","null"
"","","","","","image-button-response","10","23085","0.0-10.0","o6p19e2byv0dw6u","conditionB","null","[]","null"
"","","","","","image-button-response","11","27599","0.0-11.0","o6p19e2byv0dw6u","conditionB","null","[""images/celebrities/5.png""]","null"
"","","","","","image-button-response","12","30303","0.0-12.0","o6p19e2byv0dw6u","conditionB","null","[]","null"
"","","","","","image-button-response","13","32109","0.0-13.0","o6p19e2byv0dw6u","conditionB","null","[]","null"
"","","","","","image-button-response","14","33911","0.0-14.0","o6p19e2byv0dw6u","conditionB","null","[]","null"
"","","","","","image-button-response","15","38413","0.0-15.0","o6p19e2byv0dw6u","conditionB","null","[""images/celebrities/7.png""]","null"
"","","","","","image-button-response","16","41121","0.0-16.0","o6p19e2byv0dw6u","conditionB","null","[]","null"
"","","","","","image-button-response","17","42927","0.0-17.0","o6p19e2byv0dw6u","conditionB","null","[]","null"
"","","","","","survey-text","18","46021","0.0-18.0","o6p19e2byv0dw6u","conditionB","3090","","{""Q0"":""l""}"
