"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","2984","0.0-0.0","f1pwz1x27v1q87y","","","","","",""
"true","","","","","fullscreen","1","5913","0.0-1.0","f1pwz1x27v1q87y","1921","","","","",""
"","","","","","initialize-microphone","2","51086","0.0-2.0","f1pwz1x27v1q87y","","RZE/R13QCsD0g3PhaDYylkvdnRDSMhWO07wVTIFgwD4=","","","",""
"","","","","","instructions","3","58590","0.0-3.0","f1pwz1x27v1q87y","7500","","[{""page_index"":0,""viewing_time"":2441},{""page_index"":1,""viewing_time"":5058}]","","",""
"","","","","","image-button-response","4","63106","0.0-4.0-0.0","f1pwz1x27v1q87y","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","66140","0.0-4.0-1.0","f1pwz1x27v1q87y","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","68165","0.0-4.0-2.0","f1pwz1x27v1q87y","null","","","[]","null",""
"","","","","","image-button-response","7","72754","0.0-4.0-0.1","f1pwz1x27v1q87y","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","74833","0.0-4.0-1.1","f1pwz1x27v1q87y","2079","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","76842","0.0-4.0-2.1","f1pwz1x27v1q87y","null","","","[]","null",""
"","","","","","image-button-response","10","81433","0.0-4.0-0.2","f1pwz1x27v1q87y","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","82669","0.0-4.0-1.2","f1pwz1x27v1q87y","1234","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","84472","0.0-4.0-2.2","f1pwz1x27v1q87y","null","","","[]","null",""
"","","","","","instructions","13","91155","0.0-5.0","f1pwz1x27v1q87y","6682","","[{""page_index"":0,""viewing_time"":5342},{""page_index"":1,""viewing_time"":1340}]","","",""
