"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","1626","0.0-0.0","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","","","","","",""
"true","","","","","fullscreen","1","5898","0.0-1.0","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","3257","","","","",""
"","","","","","initialize-microphone","2","12511","0.0-2.0","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","","9eda46709d06d27e1e7491fe5e44616b47c5daeec2155021da67c4b291fbe942","","","",""
"","","","","","instructions","3","20543","0.0-3.0","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","8031","","[{""page_index"":0,""viewing_time"":2351},{""page_index"":1,""viewing_time"":5680}]","","",""
"","","","","","image-button-response","4","25059","0.0-4.0-0.0","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","27762","0.0-4.0-1.0","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","29563","0.0-4.0-2.0","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","null","","","[]","null",""
"","","","","","image-button-response","7","34066","0.0-4.0-0.1","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","36652","0.0-4.0-1.1","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","2585","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","38470","0.0-4.0-2.1","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","null","","","[]","null",""
"","","","","","image-button-response","10","42973","0.0-4.0-0.2","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","44907","0.0-4.0-1.2","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","1933","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","46709","0.0-4.0-2.2","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","null","","","[]","null",""
"","","","","","instructions","13","56812","0.0-5.0","wyf8fg7ar1z26el","wyf8fg7ar1z26el-2024-01-29-03-36-33","10103","","[{""page_index"":0,""viewing_time"":8673},{""page_index"":1,""viewing_time"":1430}]","","",""
