"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","device_id","stimulus","response","estimated_stimulus_onset","audio_url"
"true","false","[]","[]","[]","preload","0","42","0.0-0.0","5awf6xa5k2k8bjz","conditionB","","","","","",""
"true","","","","","fullscreen","1","13308","0.0-1.0","5awf6xa5k2k8bjz","conditionB","12260","","","","",""
"","","","","","initialize-microphone","2","17855","0.0-2.0","5awf6xa5k2k8bjz","conditionB","","30dd22ab2b37206c966e6cc1697da94970f6bc28a96247bad18d1b2142137ac5","","","",""
"","","","","","image-button-response","3","19659","0.0-3.0","5awf6xa5k2k8bjz","conditionB","null","","[]","null","",""
"","","","","","image-button-response","4","24172","0.0-4.0","5awf6xa5k2k8bjz","conditionB","null","","[""images/celebrities/1.png""]","null","",""
"","","","","","image-button-response","5","26145","0.0-5.0","5awf6xa5k2k8bjz","conditionB","1972","","[]","0","",""
"","","","","","image-button-response","6","27958","0.0-6.0","5awf6xa5k2k8bjz","conditionB","null","","[]","null","",""
"","","","","","image-button-response","7","29770","0.0-7.0","5awf6xa5k2k8bjz","conditionB","null","","[]","null","",""
"","","","","","image-button-response","8","34275","0.0-8.0","5awf6xa5k2k8bjz","conditionB","null","","[""images/celebrities/3.png""]","null","",""
"","","","","","image-button-response","9","35198","0.0-9.0","5awf6xa5k2k8bjz","conditionB","921","","[]","4","",""
"","","","","","image-button-response","10","37005","0.0-10.0","5awf6xa5k2k8bjz","conditionB","null","","[]","null","",""
"","","","","","image-button-response","11","38818","0.0-11.0","5awf6xa5k2k8bjz","conditionB","null","","[]","null","",""
"","","","","","image-button-response","12","43320","0.0-12.0","5awf6xa5k2k8bjz","conditionB","null","","[""images/celebrities/5.png""]","null","",""
"","","","","","image-button-response","13","46035","0.0-13.0","5awf6xa5k2k8bjz","conditionB","null","","[]","null","",""
"","","","","","image-button-response","14","47840","0.0-14.0","5awf6xa5k2k8bjz","conditionB","null","","[]","null","",""
"","","","","","image-button-response","15","49643","0.0-15.0","5awf6xa5k2k8bjz","conditionB","null","","[]","null","",""
"","","","","","image-button-response","16","54150","0.0-16.0","5awf6xa5k2k8bjz","conditionB","null","","[""images/celebrities/7.png""]","null","",""
"","","","","","image-button-response","17","55717","0.0-17.0","5awf6xa5k2k8bjz","conditionB","1566","","[]","4","",""
"","","","","","image-button-response","18","57527","0.0-18.0","5awf6xa5k2k8bjz","conditionB","null","","[]","null","",""
