"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","device_id","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","833","0.0-0.0","5wmc6c28sfrz5u1","conditionA","","","","",""
"true","","","","","fullscreen","1","3010","0.0-1.0","5wmc6c28sfrz5u1","conditionA","1168","","","",""
"","","","","","initialize-microphone","2","7979","0.0-2.0","5wmc6c28sfrz5u1","conditionA","","30dd22ab2b37206c966e6cc1697da94970f6bc28a96247bad18d1b2142137ac5","","",""
"","","","","","image-button-response","3","9787","0.0-3.0","5wmc6c28sfrz5u1","conditionA","null","","[]","null",""
"","","","","","image-button-response","4","14291","0.0-4.0","5wmc6c28sfrz5u1","conditionA","null","","[""images/celebrities/1.png""]","null",""
"","","","","","image-button-response","5","15851","0.0-5.0","5wmc6c28sfrz5u1","conditionA","1559","","[]","1",""
"","","","","","image-button-response","6","17665","0.0-6.0","5wmc6c28sfrz5u1","conditionA","null","","[]","null",""
"","","","","","image-button-response","7","19478","0.0-7.0","5wmc6c28sfrz5u1","conditionA","null","","[]","null",""
"","","","","","image-button-response","8","23981","0.0-8.0","5wmc6c28sfrz5u1","conditionA","null","","[""images/celebrities/3.png""]","null",""
"","","","","","image-button-response","9","24842","0.0-9.0","5wmc6c28sfrz5u1","conditionA","861","","[]","2",""
"","","","","","image-button-response","10","26651","0.0-10.0","5wmc6c28sfrz5u1","conditionA","null","","[]","null",""
"","","","","","image-button-response","11","28455","0.0-11.0","5wmc6c28sfrz5u1","conditionA","null","","[]","null",""
"","","","","","image-button-response","12","32967","0.0-12.0","5wmc6c28sfrz5u1","conditionA","null","","[""images/celebrities/5.png""]","null",""
"","","","","","image-button-response","13","34270","0.0-13.0","5wmc6c28sfrz5u1","conditionA","1302","","[]","2",""
"","","","","","image-button-response","14","36071","0.0-14.0","5wmc6c28sfrz5u1","conditionA","null","","[]","null",""
"","","","","","image-button-response","15","37873","0.0-15.0","5wmc6c28sfrz5u1","conditionA","null","","[]","null",""
"","","","","","image-button-response","16","42375","0.0-16.0","5wmc6c28sfrz5u1","conditionA","null","","[""images/celebrities/7.png""]","null",""
"","","","","","image-button-response","17","43414","0.0-17.0","5wmc6c28sfrz5u1","conditionA","1038","","[]","4",""
"","","","","","image-button-response","18","45219","0.0-18.0","5wmc6c28sfrz5u1","conditionA","null","","[]","null",""
