"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","3454","0.0-0.0","kfnul86t53ohqug","","","","","",""
"true","","","","","fullscreen","1","7438","0.0-1.0","kfnul86t53ohqug","2980","","","","",""
"","","","","","initialize-microphone","2","23061","0.0-2.0","kfnul86t53ohqug","","c6fa6d731e7ca745184ddbaaf89e1ed3eb20f778c0b6134afc47ab2015af1774","","","",""
"","","","","","instructions","3","41367","0.0-3.0","kfnul86t53ohqug","18305","","[{""page_index"":0,""viewing_time"":2008},{""page_index"":1,""viewing_time"":16296}]","","",""
"","","","","","image-button-response","4","45869","0.0-4.0-0.0","kfnul86t53ohqug","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","48570","0.0-4.0-1.0","kfnul86t53ohqug","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","50372","0.0-4.0-2.0","kfnul86t53ohqug","null","","","[]","null",""
"","","","","","image-button-response","7","54873","0.0-4.0-0.1","kfnul86t53ohqug","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","55969","0.0-4.0-1.1","kfnul86t53ohqug","1095","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","57771","0.0-4.0-2.1","kfnul86t53ohqug","null","","","[]","null",""
"","","","","","image-button-response","10","62272","0.0-4.0-0.2","kfnul86t53ohqug","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","62975","0.0-4.0-1.2","kfnul86t53ohqug","701","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","64777","0.0-4.0-2.2","kfnul86t53ohqug","null","","","[]","null",""
"","","","","","instructions","13","82170","0.0-5.0","kfnul86t53ohqug","17394","","[{""page_index"":0,""viewing_time"":15248},{""page_index"":1,""viewing_time"":2145}]","","",""
