"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","13919","0.0-0.0","ntyfagotjunuk22","ntyfagotjunuk22-2024-01-29-03-22-40","","","","","",""
"true","","","","","fullscreen","1","17699","0.0-1.0","ntyfagotjunuk22","ntyfagotjunuk22-2024-01-29-03-22-40","2773","","","","",""
"","","","","","initialize-microphone","2","22841","0.0-2.0","ntyfagotjunuk22","ntyfagotjunuk22-2024-01-29-03-22-40","","e78522a0cbf1661f091c177199fbbb5ab15d52ad989e7dfc24bb988916121967","","","",""
"","","","","","instructions","3","42578","0.0-3.0","ntyfagotjunuk22","ntyfagotjunuk22-2024-01-29-03-22-40","19737","","[{""page_index"":0,""viewing_time"":14086},{""page_index"":1,""viewing_time"":5651}]","","",""
"","","","","","image-button-response","4","47089","0.0-4.0-0.0","ntyfagotjunuk22","ntyfagotjunuk22-2024-01-29-03-22-40","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","49793","0.0-4.0-1.0","ntyfagotjunuk22","ntyfagotjunuk22-2024-01-29-03-22-40","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","51599","0.0-4.0-2.0","ntyfagotjunuk22","ntyfagotjunuk22-2024-01-29-03-22-40","null","","","[]","null",""
"","","","","","image-button-response","7","56110","0.0-4.0-0.1","ntyfagotjunuk22","ntyfagotjunuk22-2024-01-29-03-22-40","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","57662","0.0-4.0-1.1","ntyfagotjunuk22","ntyfagotjunuk22-2024-01-29-03-22-40","1550","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","59472","0.0-4.0-2.1","ntyfagotjunuk22","ntyfagotjunuk22-2024-01-29-03-22-40","null","","","[]","null",""
"","","","","","image-button-response","10","63986","0.0-4.0-0.2","ntyfagotjunuk22","ntyfagotjunuk22-2024-01-29-03-22-40","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","65305","0.0-4.0-1.2","ntyfagotjunuk22","ntyfagotjunuk22-2024-01-29-03-22-40","1317","","","images/instructions/timeline_0/3_Beyonce.png","0",""
