"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","15241","0.0-0.0","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","","","","","",""
"true","","","","","fullscreen","1","28786","0.0-1.0","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","12445","","","","",""
"","","","","","initialize-microphone","2","60472","0.0-2.0","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","","8986d73fbb8908b353b01b6481d8d1fd040d36345b5d12fa4bbf5311dfb3bcdc","","","",""
"","","","","","instructions","3","65143","0.0-3.0","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","4670","","[{""page_index"":0,""viewing_time"":1375},{""page_index"":1,""viewing_time"":3293}]","","",""
"","","","","","image-button-response","4","69652","0.0-4.0-0.0","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","72302","0.0-4.0-1.0","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","2648","","","images/instructions/timeline_0/1_Barck_Obama.png","0",""
"","","","","","image-button-response","6","74109","0.0-4.0-2.0","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","null","","","[]","null",""
"","","","","","image-button-response","7","78620","0.0-4.0-0.1","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","79391","0.0-4.0-1.1","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","769","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","81196","0.0-4.0-2.1","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","null","","","[]","null",""
"","","","","","image-button-response","10","85700","0.0-4.0-0.2","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","86468","0.0-4.0-1.2","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","766","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","88276","0.0-4.0-2.2","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","null","","","[]","null",""
"","","","","","instructions","13","122354","0.0-5.0","rcf04qlzvy03k5j","rcf04qlzvy03k5j-2024-01-29-03-19-20","34075","","[{""page_index"":0,""viewing_time"":33014},{""page_index"":1,""viewing_time"":1061}]","","",""
