"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","4985","0.0-0.0","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","","","","","",""
"true","","","","","fullscreen","1","8563","0.0-1.0","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","2575","","","","",""
"","","","","","initialize-microphone","2","14108","0.0-2.0","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","","0b7cc985e204d29f1f9a7766060b3caa7658c4327e13d789c6c9ab338a92d2c8","","","",""
"","","","","","instructions","3","21415","0.0-3.0","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","7306","","[{""page_index"":0,""viewing_time"":1191},{""page_index"":1,""viewing_time"":6114}]","","",""
"","","","","","image-button-response","4","25927","0.0-4.0-0.0","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","28801","0.0-4.0-1.0","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","30801","0.0-4.0-2.0","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","null","","","[]","null",""
"","","","","","image-button-response","7","35801","0.0-4.0-0.1","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","38312","0.0-4.0-1.1","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","2509","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","40117","0.0-4.0-2.1","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","null","","","[]","null",""
"","","","","","image-button-response","10","44799","0.0-4.0-0.2","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","46277","0.0-4.0-1.2","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","1475","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","48082","0.0-4.0-2.2","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","null","","","[]","null",""
"","","","","","instructions","13","55463","0.0-5.0","o2k8n3ckws9rlat","o2k8n3ckws9rlat-2024-01-29-03-19-17","7380","","[{""page_index"":0,""viewing_time"":5976},{""page_index"":1,""viewing_time"":1404}]","","",""
