"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","2599","0.0-0.0","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","","","","","",""
"true","","","","","fullscreen","1","6072","0.0-1.0","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","2464","","","","",""
"","","","","","initialize-microphone","2","15978","0.0-2.0","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","","dca063c030836e428c4113560dd7e5240ea3622e81a7f15477ccd72c4aa28e9c","","","",""
"","","","","","instructions","3","21175","0.0-3.0","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","5196","","[{""page_index"":0,""viewing_time"":1122},{""page_index"":1,""viewing_time"":4074}]","","",""
"","","","","","image-button-response","4","25682","0.0-4.0-0.0","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","28389","0.0-4.0-1.0","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","30193","0.0-4.0-2.0","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","null","","","[]","null",""
"","","","","","image-button-response","7","34695","0.0-4.0-0.1","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","36063","0.0-4.0-1.1","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","1366","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","37865","0.0-4.0-2.1","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","null","","","[]","null",""
"","","","","","image-button-response","10","42368","0.0-4.0-0.2","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","43472","0.0-4.0-1.2","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","1102","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","45274","0.0-4.0-2.2","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","null","","","[]","null",""
"","","","","","instructions","13","52808","0.0-5.0","5jqkjtz0ry08ls7","5jqkjtz0ry08ls7-2024-01-29-03-31-29","7534","","[{""page_index"":0,""viewing_time"":6573},{""page_index"":1,""viewing_time"":960}]","","",""
