"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","device_id","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","11","0.0-0.0","qcq4wxaqbnzo1hx","conditionC","","","","",""
"true","","","","","fullscreen","1","2959","0.0-1.0","qcq4wxaqbnzo1hx","conditionC","1936","","","",""
"","","","","","initialize-microphone","2","6159","0.0-2.0","qcq4wxaqbnzo1hx","conditionC","","30dd22ab2b37206c966e6cc1697da94970f6bc28a96247bad18d1b2142137ac5","","",""
"","","","","","image-button-response","3","7968","0.0-3.0","qcq4wxaqbnzo1hx","conditionC","null","","[]","null",""
"","","","","","image-button-response","4","12470","0.0-4.0","qcq4wxaqbnzo1hx","conditionC","null","","[""images/celebrities/1.png""]","null",""
"","","","","","image-button-response","5","15184","0.0-5.0","qcq4wxaqbnzo1hx","conditionC","null","","[]","null",""
"","","","","","image-button-response","6","16992","0.0-6.0","qcq4wxaqbnzo1hx","conditionC","null","","[]","null",""
"","","","","","image-button-response","7","18804","0.0-7.0","qcq4wxaqbnzo1hx","conditionC","null","","[]","null",""
"","","","","","image-button-response","8","23307","0.0-8.0","qcq4wxaqbnzo1hx","conditionC","null","","[""images/celebrities/3.png""]","null",""
"","","","","","image-button-response","9","26017","0.0-9.0","qcq4wxaqbnzo1hx","conditionC","null","","[]","null",""
"","","","","","image-button-response","10","27829","0.0-10.0","qcq4wxaqbnzo1hx","conditionC","null","","[]","null",""
"","","","","","image-button-response","11","29641","0.0-11.0","qcq4wxaqbnzo1hx","conditionC","null","","[]","null",""
"","","","","","image-button-response","12","34150","0.0-12.0","qcq4wxaqbnzo1hx","conditionC","null","","[""images/celebrities/5.png""]","null",""
"","","","","","image-button-response","13","35361","0.0-13.0","qcq4wxaqbnzo1hx","conditionC","1208","","[]","4",""
"","","","","","image-button-response","14","37166","0.0-14.0","qcq4wxaqbnzo1hx","conditionC","null","","[]","null",""
"","","","","","image-button-response","15","38977","0.0-15.0","qcq4wxaqbnzo1hx","conditionC","null","","[]","null",""
"","","","","","image-button-response","16","43486","0.0-16.0","qcq4wxaqbnzo1hx","conditionC","null","","[""images/celebrities/7.png""]","null",""
"","","","","","image-button-response","17","44648","0.0-17.0","qcq4wxaqbnzo1hx","conditionC","1160","","[]","4",""
"","","","","","image-button-response","18","46450","0.0-18.0","qcq4wxaqbnzo1hx","conditionC","null","","[]","null",""
