"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","device_id","stimulus","response","estimated_stimulus_onset","audio_url"
"true","false","[]","[]","[]","preload","0","31","0.0-0.0","st9bnekd8jlb58f","conditionC","","","","","",""
"true","","","","","fullscreen","1","3116","0.0-1.0","st9bnekd8jlb58f","conditionC","2075","","","","",""
"","","","","","initialize-microphone","2","8919","0.0-2.0","st9bnekd8jlb58f","conditionC","","30dd22ab2b37206c966e6cc1697da94970f6bc28a96247bad18d1b2142137ac5","","","",""
"","","","","","image-button-response","3","10729","0.0-3.0","st9bnekd8jlb58f","conditionC","null","","[]","null","",""
"","","","","","image-button-response","4","15240","0.0-4.0","st9bnekd8jlb58f","conditionC","null","","[""images/celebrities/1.png""]","null","",""
"","","","","","image-button-response","5","15978","0.0-5.0","st9bnekd8jlb58f","conditionC","737","","[]","4","",""
"","","","","","image-button-response","6","17785","0.0-6.0","st9bnekd8jlb58f","conditionC","null","","[]","null","",""
"","","","","","image-button-response","7","19586","0.0-7.0","st9bnekd8jlb58f","conditionC","null","","[]","null","",""
"","","","","","image-button-response","8","24102","0.0-8.0","st9bnekd8jlb58f","conditionC","null","","[""images/celebrities/3.png""]","null","",""
"","","","","","image-button-response","9","26810","0.0-9.0","st9bnekd8jlb58f","conditionC","null","","[]","null","",""
"","","","","","image-button-response","10","28882","0.0-10.0","st9bnekd8jlb58f","conditionC","null","","[]","null","",""
"","","","","","image-button-response","11","30891","0.0-11.0","st9bnekd8jlb58f","conditionC","null","","[]","null","",""
"","","","","","image-button-response","12","35882","0.0-12.0","st9bnekd8jlb58f","conditionC","null","","[""images/celebrities/5.png""]","null","",""
"","","","","","image-button-response","13","38889","0.0-13.0","st9bnekd8jlb58f","conditionC","null","","[]","null","",""
"","","","","","image-button-response","14","40889","0.0-14.0","st9bnekd8jlb58f","conditionC","null","","[]","null","",""
"","","","","","image-button-response","15","42879","0.0-15.0","st9bnekd8jlb58f","conditionC","null","","[]","null","",""
"","","","","","image-button-response","16","47386","0.0-16.0","st9bnekd8jlb58f","conditionC","null","","[""images/celebrities/7.png""]","null","",""
"","","","","","image-button-response","17","49130","0.0-17.0","st9bnekd8jlb58f","conditionC","1743","","[]","2","",""
"","","","","","image-button-response","18","50944","0.0-18.0","st9bnekd8jlb58f","conditionC","null","","[]","null","",""
