"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","66","0.0-0.0","dneeyvkv8eyzj8m","[]","","","","","",""
"true","","","","","fullscreen","1","3881","0.0-1.0","dneeyvkv8eyzj8m","[]","2798","","","","",""
"","","","","","initialize-microphone","2","5061","0.0-2.0","dneeyvkv8eyzj8m","[]","","a245aeecc0339b94ca3b74e02bb1150e9e1aee21df4e57afe28caa91d36d71b3","","","",""
"","","","","","instructions","3","6844","0.0-3.0","dneeyvkv8eyzj8m","[]","1782","","[{""page_index"":0,""viewing_time"":802},{""page_index"":1,""viewing_time"":981}]","","",""
"","","","","","image-button-response","4","11357","0.0-4.0-0.0","dneeyvkv8eyzj8m","[]","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","12459","0.0-4.0-1.0","dneeyvkv8eyzj8m","[]","1100","","","images/instructions/timeline_0/1_Barck_Obama.png","1",""
"","","","","","image-button-response","6","14268","0.0-4.0-2.0","dneeyvkv8eyzj8m","[]","null","","","[]","null",""
"","","","","","image-button-response","7","18781","0.0-4.0-0.1","dneeyvkv8eyzj8m","[]","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","19528","0.0-4.0-1.1","dneeyvkv8eyzj8m","[]","744","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","21336","0.0-4.0-2.1","dneeyvkv8eyzj8m","[]","null","","","[]","null",""
"","","","","","image-button-response","10","25846","0.0-4.0-0.2","dneeyvkv8eyzj8m","[]","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","26657","0.0-4.0-1.2","dneeyvkv8eyzj8m","[]","808","","","images/instructions/timeline_0/3_Beyonce.png","1",""
"","","","","","image-button-response","12","28461","0.0-4.0-2.2","dneeyvkv8eyzj8m","[]","null","","","[]","null",""
"","","","","","instructions","13","32067","0.0-5.0","dneeyvkv8eyzj8m","[]","3606","","[{""page_index"":0,""viewing_time"":2713},{""page_index"":1,""viewing_time"":893}]","","",""
