"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","10477","0.0-0.0","2olj56gun72eosz","","","","","",""
"true","","","","","fullscreen","1","13636","0.0-1.0","2olj56gun72eosz","2151","","","","",""
"","","","","","initialize-microphone","2","18971","0.0-2.0","2olj56gun72eosz","","8a74ca5a2687edc3ec2ba95b4447a5295ec633323968d007a0a335a35a338af0","","","",""
"","","","","","instructions","3","29617","0.0-3.0","2olj56gun72eosz","10646","","[{""page_index"":0,""viewing_time"":1247},{""page_index"":1,""viewing_time"":9398}]","","",""
"","","","","","image-button-response","4","34127","0.0-4.0-0.0","2olj56gun72eosz","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","36830","0.0-4.0-1.0","2olj56gun72eosz","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","38632","0.0-4.0-2.0","2olj56gun72eosz","null","","","[]","null",""
"","","","","","image-button-response","7","43136","0.0-4.0-0.1","2olj56gun72eosz","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","45146","0.0-4.0-1.1","2olj56gun72eosz","2009","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","46954","0.0-4.0-2.1","2olj56gun72eosz","null","","","[]","null",""
"","","","","","image-button-response","10","51456","0.0-4.0-0.2","2olj56gun72eosz","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","54160","0.0-4.0-1.2","2olj56gun72eosz","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","12","55961","0.0-4.0-2.2","2olj56gun72eosz","null","","","[]","null",""
"","","","","","instructions","13","60967","0.0-5.0","2olj56gun72eosz","5004","","[{""page_index"":0,""viewing_time"":3349},{""page_index"":1,""viewing_time"":1655}]","","",""
