"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","5502","0.0-0.0","dj08wqcba4wu2lb","","","","","",""
"true","","","","","fullscreen","1","9442","0.0-1.0","dj08wqcba4wu2lb","2933","","","","",""
"","","","","","initialize-microphone","2","43392","0.0-2.0","dj08wqcba4wu2lb","","1668e178806fd07bf526ad672764f39b7f4161c3c94154b1872635c8859bbf31","","","",""
"","","","","","instructions","3","49895","0.0-3.0","dj08wqcba4wu2lb","6502","","[{""page_index"":0,""viewing_time"":2068},{""page_index"":1,""viewing_time"":4434}]","","",""
"","","","","","image-button-response","4","54405","0.0-4.0-0.0","dj08wqcba4wu2lb","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","57111","0.0-4.0-1.0","dj08wqcba4wu2lb","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","58918","0.0-4.0-2.0","dj08wqcba4wu2lb","null","","","[]","null",""
"","","","","","image-button-response","7","63421","0.0-4.0-0.1","dj08wqcba4wu2lb","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","64330","0.0-4.0-1.1","dj08wqcba4wu2lb","907","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","66137","0.0-4.0-2.1","dj08wqcba4wu2lb","null","","","[]","null",""
"","","","","","image-button-response","10","70640","0.0-4.0-0.2","dj08wqcba4wu2lb","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","71464","0.0-4.0-1.2","dj08wqcba4wu2lb","823","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","73270","0.0-4.0-2.2","dj08wqcba4wu2lb","null","","","[]","null",""
"","","","","","instructions","13","86428","0.0-5.0","dj08wqcba4wu2lb","13157","","[{""page_index"":0,""viewing_time"":12008},{""page_index"":1,""viewing_time"":1149}]","","",""
