"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","365","0.0-0.0","z707wtd8mkkgkdp","65b6eb2fc356a","","","","","",""
"true","","","","","fullscreen","1","3460","0.0-1.0","z707wtd8mkkgkdp","65b6eb2fc356a","2082","","","","",""
"","","","","","initialize-microphone","2","7417","0.0-2.0","z707wtd8mkkgkdp","65b6eb2fc356a","","30dd22ab2b37206c966e6cc1697da94970f6bc28a96247bad18d1b2142137ac5","","","",""
"","","","","","instructions","3","9583","0.0-3.0","z707wtd8mkkgkdp","65b6eb2fc356a","2166","","[{""page_index"":0,""viewing_time"":901},{""page_index"":1,""viewing_time"":1264}]","","",""
"","","","","","image-button-response","4","14095","0.0-4.0-0.0","z707wtd8mkkgkdp","65b6eb2fc356a","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","16070","0.0-4.0-1.0","z707wtd8mkkgkdp","65b6eb2fc356a","1972","","","images/instructions/timeline_0/1_Barck_Obama.png","1",""
"","","","","","image-button-response","6","17874","0.0-4.0-2.0","z707wtd8mkkgkdp","65b6eb2fc356a","null","","","[]","null",""
"","","","","","image-button-response","7","22376","0.0-4.0-0.1","z707wtd8mkkgkdp","65b6eb2fc356a","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","25093","0.0-4.0-1.1","z707wtd8mkkgkdp","65b6eb2fc356a","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","9","26904","0.0-4.0-2.1","z707wtd8mkkgkdp","65b6eb2fc356a","null","","","[]","null",""
"","","","","","image-button-response","10","31409","0.0-4.0-0.2","z707wtd8mkkgkdp","65b6eb2fc356a","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
