"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","263","0.0-0.0","7y04stub0b6y7z6","","","","","",""
"true","","","","","fullscreen","1","6335","0.0-1.0","7y04stub0b6y7z6","5069","","","","",""
"","","","","","initialize-microphone","2","8707","0.0-2.0","7y04stub0b6y7z6","","a245aeecc0339b94ca3b74e02bb1150e9e1aee21df4e57afe28caa91d36d71b3","","","",""
"","","","","","instructions","3","11249","0.0-3.0","7y04stub0b6y7z6","2542","","[{""page_index"":0,""viewing_time"":1542},{""page_index"":1,""viewing_time"":1000}]","","",""
"","","","","","image-button-response","4","15761","0.0-4.0-0.0","7y04stub0b6y7z6","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","18466","0.0-4.0-1.0","7y04stub0b6y7z6","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","20285","0.0-4.0-2.0","7y04stub0b6y7z6","null","","","[]","null",""
"","","","","","image-button-response","7","24796","0.0-4.0-0.1","7y04stub0b6y7z6","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","27506","0.0-4.0-1.1","7y04stub0b6y7z6","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","9","29311","0.0-4.0-2.1","7y04stub0b6y7z6","null","","","[]","null",""
"","","","","","image-button-response","10","33815","0.0-4.0-0.2","7y04stub0b6y7z6","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","35216","0.0-4.0-1.2","7y04stub0b6y7z6","1399","","","images/instructions/timeline_0/3_Beyonce.png","1",""
"","","","","","image-button-response","12","37024","0.0-4.0-2.2","7y04stub0b6y7z6","null","","","[]","null",""
"","","","","","instructions","13","39149","0.0-5.0","7y04stub0b6y7z6","2124","","[{""page_index"":0,""viewing_time"":1320},{""page_index"":1,""viewing_time"":804}]","","",""
