"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","12803","0.0-0.0","9v59zkazjcn5yk5","conditionC","","","","","",""
"true","","","","","fullscreen","1","15881","0.0-1.0","9v59zkazjcn5yk5","conditionC","2071","","","","",""
"","","","","","initialize-microphone","2","43465","0.0-2.0","9v59zkazjcn5yk5","conditionC","","d2a969713a05ff51d45f44e9d8d689ace779d322dd13d89bca6d2744b52d902a","","","",""
"","","","","","instructions","3","49367","0.0-3.0","9v59zkazjcn5yk5","conditionC","5902","","[{""page_index"":0,""viewing_time"":1251},{""page_index"":1,""viewing_time"":4651}]","","",""
"","","","","","image-button-response","4","53870","0.0-4.0-0.0","9v59zkazjcn5yk5","conditionC","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","56572","0.0-4.0-1.0","9v59zkazjcn5yk5","conditionC","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","58373","0.0-4.0-2.0","9v59zkazjcn5yk5","conditionC","null","","","[]","null",""
"","","","","","image-button-response","7","62875","0.0-4.0-0.1","9v59zkazjcn5yk5","conditionC","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","64302","0.0-4.0-1.1","9v59zkazjcn5yk5","conditionC","1426","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","66104","0.0-4.0-2.1","9v59zkazjcn5yk5","conditionC","null","","","[]","null",""
"","","","","","image-button-response","10","70606","0.0-4.0-0.2","9v59zkazjcn5yk5","conditionC","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","71813","0.0-4.0-1.2","9v59zkazjcn5yk5","conditionC","1206","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","73614","0.0-4.0-2.2","9v59zkazjcn5yk5","conditionC","null","","","[]","null",""
"","","","","","instructions","13","90553","0.0-5.0","9v59zkazjcn5yk5","conditionC","16938","","[{""page_index"":0,""viewing_time"":15120},{""page_index"":1,""viewing_time"":1819}]","","",""
