"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","7176","0.0-0.0","ezjmm4panss4p82","","","","","",""
"true","","","","","fullscreen","1","10627","0.0-1.0","ezjmm4panss4p82","2444","","","","",""
"","","","","","initialize-microphone","2","24029","0.0-2.0","ezjmm4panss4p82","","8cfa1f355a41c31e79e537736abe64c21d748c2830ccf371810119d8fb924a37","","","",""
"","","","","","instructions","3","29721","0.0-3.0","ezjmm4panss4p82","5691","","[{""page_index"":0,""viewing_time"":1221},{""page_index"":1,""viewing_time"":4469}]","","",""
"","","","","","image-button-response","4","34227","0.0-4.0-0.0","ezjmm4panss4p82","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","36930","0.0-4.0-1.0","ezjmm4panss4p82","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","38735","0.0-4.0-2.0","ezjmm4panss4p82","null","","","[]","null",""
"","","","","","image-button-response","7","43242","0.0-4.0-0.1","ezjmm4panss4p82","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","45945","0.0-4.0-1.1","ezjmm4panss4p82","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","9","47748","0.0-4.0-2.1","ezjmm4panss4p82","null","","","[]","null",""
"","","","","","image-button-response","10","52253","0.0-4.0-0.2","ezjmm4panss4p82","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","53791","0.0-4.0-1.2","ezjmm4panss4p82","1536","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","55596","0.0-4.0-2.2","ezjmm4panss4p82","null","","","[]","null",""
"","","","","","instructions","13","68142","0.0-5.0","ezjmm4panss4p82","12545","","[{""page_index"":0,""viewing_time"":11120},{""page_index"":1,""viewing_time"":1425}]","","",""
