"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","9","0.0-0.0","or8e7wb0z73xfdc","conditionC","","","","","",""
"true","","","","","fullscreen","1","2757","0.0-1.0","or8e7wb0z73xfdc","conditionC","1742","","","","",""
"","","","","","initialize-microphone","2","8778","0.0-2.0","or8e7wb0z73xfdc","conditionC","","46a390e38cd3a8ab24e36e831f9a8c0bc25b60c739be75fbc247d1285231482a","","","",""
"","","","","","instructions","3","11001","0.0-3.0","or8e7wb0z73xfdc","conditionC","2222","","[{""page_index"":0,""viewing_time"":1197},{""page_index"":1,""viewing_time"":1025}]","","",""
"","","","","","image-button-response","4","15512","0.0-4.0-0.0","or8e7wb0z73xfdc","conditionC","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","17326","0.0-4.0-1.0","or8e7wb0z73xfdc","conditionC","1811","","","images/instructions/timeline_0/1_Barck_Obama.png","0",""
"","","","","","image-button-response","6","19136","0.0-4.0-2.0","or8e7wb0z73xfdc","conditionC","null","","","[]","null",""
"","","","","","image-button-response","7","23640","0.0-4.0-0.1","or8e7wb0z73xfdc","conditionC","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","24753","0.0-4.0-1.1","or8e7wb0z73xfdc","conditionC","1111","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","26559","0.0-4.0-2.1","or8e7wb0z73xfdc","conditionC","null","","","[]","null",""
"","","","","","image-button-response","10","31061","0.0-4.0-0.2","or8e7wb0z73xfdc","conditionC","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","33529","0.0-4.0-1.2","or8e7wb0z73xfdc","conditionC","2467","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","35336","0.0-4.0-2.2","or8e7wb0z73xfdc","conditionC","null","","","[]","null",""
"","","","","","instructions","13","38117","0.0-5.0","or8e7wb0z73xfdc","conditionC","2781","","[{""page_index"":0,""viewing_time"":1680},{""page_index"":1,""viewing_time"":1101}]","","",""
