"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","3348","0.0-0.0","wsl88gtfg946o32","conditionC","","","","","",""
"true","","","","","fullscreen","1","7718","0.0-1.0","wsl88gtfg946o32","conditionC","3367","","","","",""
"","","","","","initialize-microphone","2","12819","0.0-2.0","wsl88gtfg946o32","conditionC","","a760d92e0fa8b5d7bd040c68092c5bfa37ca7785a6ff73e02c0ce25622b45793","","","",""
"","","","","","instructions","3","21878","0.0-3.0","wsl88gtfg946o32","conditionC","9058","","[{""page_index"":0,""viewing_time"":1474},{""page_index"":1,""viewing_time"":7584}]","","",""
"","","","","","image-button-response","4","26381","0.0-4.0-0.0","wsl88gtfg946o32","conditionC","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","29082","0.0-4.0-1.0","wsl88gtfg946o32","conditionC","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","30884","0.0-4.0-2.0","wsl88gtfg946o32","conditionC","null","","","[]","null",""
"","","","","","image-button-response","7","35386","0.0-4.0-0.1","wsl88gtfg946o32","conditionC","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","36460","0.0-4.0-1.1","wsl88gtfg946o32","conditionC","1072","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","38262","0.0-4.0-2.1","wsl88gtfg946o32","conditionC","null","","","[]","null",""
"","","","","","image-button-response","10","42763","0.0-4.0-0.2","wsl88gtfg946o32","conditionC","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","43508","0.0-4.0-1.2","wsl88gtfg946o32","conditionC","743","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","45310","0.0-4.0-2.2","wsl88gtfg946o32","conditionC","null","","","[]","null",""
"","","","","","instructions","13","54275","0.0-5.0","wsl88gtfg946o32","conditionC","8965","","[{""page_index"":0,""viewing_time"":7714},{""page_index"":1,""viewing_time"":1250}]","","",""
